0	0	0.933	1	0.314
0	0.81	0.602	0.497	1
0.728	0.722	0	0	0.596
0.722	0	0.728	0	0
0	0	0.5	0	0
0	0	0	0	0
0	0	0	0	0
0	0.933	0	0	0.564
0	0	0	0	0
0	0	0	0.769	0
0.497	0	0.81	0	0
0	0	1	0.8	0.342
0.8	0.619	0	0	0
0	0.488	0	0.724	0
0	0.733	0	0.572	0
0.905	0.667	0	0	0
0	0	0	0.762	0.679
0	0	0	0	0
0.621	0	0	0.8	1
1	0.7	0	0.596	0
0	0	0	0.806	0
0	0	0.724	0	0.488
1	0.602	1	0	0
0	0	0	0	0.667
0	0	0	0.733	0.667
0	0	0	0.342	0.756
1	0	0.342	0	0
0.494	0.221	0.351	0	0.782
0	0	0	0	0
0.596	0	0.7	0.728	1
0.762	0	0	0	0
0	0	0	0	0.745
0	0	0	0	0
0	0	0	0	0.762
0	0	0	0	0
0	0	0	0	0
0.769	0.905	0	0	0
0	0	0	0	0
0.371	0	0	0.346	0.833
0.686	0	0	0	0
0	0	0	0.81	0.333
0	0	0	0	0
0	0	0	0	0
0	0.667	0.8	0	0
0	0	0.221	0	0.494
0	0	0	0	0
0.75	0.782	0	0.351	0
0	0	0	-1	0
0	0	0	0	0
0	0	0.933	0	0
0	0	0	0	0
0	0	0	0	0
0	1	0	0	0.933
0.314	0.933	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0.833	0	0	0
0.81	0.905	0	0	0
0	0.81	0	0.905	0
0	0.679	1	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0.833	0	0
0	0	0	0.833	0
0	0	0.667	0	0
0	0	0	0	0
0.806	0	0	0	0
0	0	0	0	0
0	0	0	0.314	0
0	0.756	0	0	0
0	0	0	0	0.756
0	0	0	0	0
0	0	0.756	0	0
0	0.562	0	1	0
1	1	0	0.602	0.667
0	0	0	0	0
0	1	0	0	0
0.756	0	0	0	0
0	0	0	0	0
0	0	0	0.5	0
0	0	0	0	0
0	0.37	1	0	1
0	0	0	0	0
0	0.314	0	0.933	0
0	0	0	1	1
0	0	0	0	0
0.5	0	0	0	0
0.7	0.596	1	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	1	0
0	0	0	0	0
0	0	0.497	0	0.81
0	0	0	0	0
0	0	0	0.562	0
0	0	0.905	0	0.769
0	0	0	0	0
0	0	0	0	0
0	0.667	0	0	0
0.572	1	0.733	0	0
0	0	0	0	0
0.488	0.724	0	0	0
0.679	0	0	0	1
0.351	0.494	0.782	0.221	0.75
0	0	0	0	0.686
0.745	0	0	0	0
0	0	0	0	0
0	0.346	0.371	0.833	0
1	0	0	0	0
0	0	0.905	0	0.81
0	0.371	0.833	0	0
0	0	0.8	0	0
0	0	0.37	0	0
0.667	0	0	1	0
0.833	0	0.346	0.8	0
0	0.833	1	0	0
0	0	0	0	0
0	0	0	0	0
0.602	0	1	0.81	1
0	0	0.619	0	0.8
0	0	0	0	0
0	0	0	0	0
0	1	0	0.7	0
0	1	0	0	0
0	0.769	0	0.905	0
0	0	0	0	0.806
0	0	0	0	0.933
0	0.686	0	0	0
0	0	0.686	0	0
0	0.762	0	0	0
0.733	0.572	0	1	0
0.81	0.497	0	0	0.602
0.8	0	0	0	0.621
0	0	0	0	0
1	0	0	0.833	0
0	0	0	0	0.619
0	0	0	0	0.5
0	0	0	0.745	0
0	0	0	0.905	0
0	0	0.333	0	0
0.933	0	0	0	0
0	0	0.679	0	0
0.756	0	0	0	0
0	0.728	0.596	0.722	0.7
0.833	0	0	0.371	1
0	0	0	0	0.724
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0.221	0	0.494	0	0.351
0.833	0	0	0	0
0	0	0.762	0	0
0	0.8	0.833	0	0.346
0	0	0	0	0
0	0	1	0	0
0	0.342	0	1	0
0.342	1	0	0	0
0	0	0	0	0
0	0	0	0	0.8
0	0.75	0	0.782	1
0.8	0	0	0.667	0.833
0	0	0	0	0
0	0	0	0	0.221
0.933	0	0.314	0	0
0	0.8	0.621	0	0
0	0	0	0.488	0
0	0	0	0	0
0	0	0.722	0.564	0.728
0	0	0	0.667	0
0	0	0	0	0
0.905	0	0.769	0	0
0	0	0.667	0	0.905
0	0	0	0	0
0	0	0	0.756	0
0.564	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0.37	0	0	0	1
0	0	0	0	0
0	0.8	0	0.619	1
0	0.333	0	0	0
0	0.621	1	0	0.572
0	0	0.564	0.933	0
0	0	0	0	0
0	0	0	0.756	0.37
0	0	0	0	0
0.724	0	0.488	0	0
0	0.564	0	0	0.722
0	0	0	0	0
0	0	0	0	0.833
0	1	0	0	0
0.333	0	0	0	0
0	0	0	0	0
0	1	0.667	1	0
0	0	0	0	0
0	0	0	0	0
1	1	0.562	0	0
0	0	0	0	0.905
0	0	0	0	0
0.346	0.833	0	0	0.371
1	0	1	0.37	0.562
0	0	0.756	0	0
0	-1	0	-1	0
0	0	0	0	0.497
0.562	1	0	1	0
0	0	0	0	0
0	0	0.745	0	0
0	0	0	0	0
1	0	0	0	0
0.782	0.351	0.75	0.494	0
0	0	0	0.686	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0.905
0	0	0	0	0
0	0	0	1	0
0	0	0	0	0
0	0	0	0.333	0
1	0	0.572	0.621	0.733
0	0.745	0	0	0
0	0	-1	0	-1
0.667	0	0.905	0	0
0	0	0	0	0
0	0	0	0	-1
0	0.905	0	0.667	0
1	0	0	0.679	0
0	0	0	0	0
0.905	0	0.81	0	0
0	0.756	0	0	0
0	0	0.806	0	0
0	0	0	0	0
0.667	0	0	0	0.8
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0.5	0	0	0
0	0	0	1	0
0.619	0	0.8	0	0
0	0	1	0.75	0
1	0	0.591	0	0
0	0	0	0	1
0	0	0	0	0
0.571	0	0.3	1	0.393
0	0	1	0	0
0.243	0	0	1	0
0	0	0	0	0
0.491	0	0	0	0
0.476	0.524	0.389	0.393	0.322
0	0	0	0	0
0.444	1	0.667	0	0
0	0.524	0	0.5	0
0	1	0.667	0	0
0.3	0.571	0.393	0	0.524
0	0	0.933	0	0
0	0.491	0	0	0
0	0	0	0	0
0.487	0.6	0.4	0.255	0.198
0	0	0	0	0
0.694	0.571	0	0	0
0	0	0	0.667	0
0.255	0.267	0.6	0.322	0.487
0.389	0.476	0.322	0.524	0.267
0	-1	0	-1	0
0	0	0	0	0
0	0	0	0	0
1	0	0.8	0	0
0.6	0.255	0.487	0.267	0.4
1	0	0	0	0.667
0.393	0.3	0.524	0.571	0.476
1	0	1	0	0
0	0	0	0	0
0	0	0	0	0
0.591	1	0	0	0.527
1	0	0	0.667	0
0	0	0	0.455	0.933
0	0	0	0	0
0	1	0.667	0	0.545
0.571	0	0.694	0.198	0
0	0	0	0	0
0	0	0	0	0
0.5	0	0	0	0
0.556	0	0	0	0
0	0	0	0	1
0	0.455	0	0.527	0
0.8	1	0	0	1
0.667	0	0	1	0
1	0	0	0	0.571
0.333	0.545	0	0.667	0
0	0	0	0	1
